0.262 -0.209371 0.552435
0.263 -0.210985 0.548086
0.264 -0.21237 0.541332
0.265 -0.213992 0.535482
0.266 -0.215493 0.531839
0.267 -0.217385 0.525731
0.268 -0.218873 0.518679
0.269 -0.22001 0.513663
0.27 -0.221923 0.505768
0.271 -0.223338 0.498575
0.272 -0.224845 0.495586
0.273 -0.226322 0.488475
0.274 -0.228267 0.484823
0.275 -0.229725 0.478239
0.276 -0.231147 0.470556
0.277 -0.232756 0.465391
0.278 -0.233844 0.458264
0.279 -0.235704 0.453251
0.28 -0.237206 0.44519
0.281 -0.238631 0.439697
0.282 -0.240451 0.434003
0.283 -0.241834 0.426584
0.284 -0.244093 0.419475
0.285 -0.245426 0.411942
0.286 -0.247554 0.405383
0.287 -0.24859 0.399264
0.288 -0.249798 0.393185
0.289 -0.251829 0.385371
0.29 -0.254025 0.381215
0.291 -0.255042 0.368854
0.292 -0.257032 0.365013
0.293 -0.25885 0.358556
0.294 -0.259967 0.351572
0.295 -0.261752 0.344275
0.296 -0.262731 0.337296
0.297 -0.265164 0.332717
0.298 -0.266256 0.323937
0.299 -0.26828 0.315286
0.3 -0.269618 0.309105
0.301 -0.272497 0.30132
0.302 -0.273298 0.297218
0.303 -0.275089 0.288119
0.304 -0.277695 0.285408
0.305 -0.279099 0.273256
0.306 -0.281222 0.264999
0.307 -0.282573 0.258947
0.308 -0.285011 0.252274
0.309 -0.287215 0.244027
0.31 -0.288823 0.237575
0.311 -0.289902 0.230273
0.312 -0.292402 0.222611
0.313 -0.295548 0.21445
0.314 -0.296124 0.205985
0.315 -0.298772 0.199907
0.316 -0.299261 0.191502
0.317 -0.30277 0.183846
0.318 -0.304266 0.175897
0.319 -0.30798 0.165448
0.32 -0.308887 0.162175
0.321 -0.311092 0.151447
0.322 -0.317233 0.145792
0.323 -0.316453 0.138987
0.324 -0.320498 0.130267
0.325 -0.324285 0.121735
0.326 -0.328574 0.114388
0.327 -0.330748 0.104568
0.328 -0.331045 0.0961078
0.329 -0.339773 0.0899781
0.33 -0.343523 0.0840959
0.331 -0.350623 0.0726483
0.332 -0.355243 0.0673708
0.333 -0.367085 0.0585557
0.334 -0.372824 0.0505106
0.335 -0.39276 0.0470408
0.336 -0.399858 0.0363535
0.337 -0.432131 0.0317551
0.338 -0.465803 0.0263672
0.339 -0.52565 0.0222511
